plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,cf_ac,cf_dc
55297,New Covert Generating Facility,MI,42.32238,-86.29368,PJM,1176.0,0.0,1176.0,6,0.18906163455678215,0.1454320265821401
55464,Deer Park Energy Center,TX,29.713414,-95.134508,ERCO,1176.0,0.0,1176.0,6,0.21445196458562255,0.16496304968124811
55460,Indeck Niles Energy Center,MI,41.862114,-86.221394,PJM,1174.4,0.0,1174.4,3,0.19064790690464153,0.1466522360804935
3393,Allen,TN,35.074087,-90.14868,TVA,1170.9,0.0,1170.9,3,0.20907255964787985,0.1608250458829845
47,Colbert,AL,34.7439,-87.8486,TVA,1169.6,1169.6,0.0,11,0.20732858489903755,0.1594835268454135
54547,Sithe Independence Station,NY,43.495,-76.4511,NYIS,1157.8,0.0,1157.8,6,0.17902454837224258,0.1377111910555712
55151,La Paloma Generating Plant,CA,35.2956,-119.5919,CISO,1156.0,0.0,1156.0,4,0.2532106452092689,0.19477741939174528
7834,John S Rainey,SC,34.347734,-82.774478,SC,1154.3,609.7,544.6,8,0.20899071586665458,0.1607620891281958
55690,Bethlehem Power Plant,PA,40.6175,-75.3147,PJM,1153.0,0.0,1153.0,8,0.19152781181039594,0.14732908600799688
55215,Odessa-Ector Power Plant,TX,31.8403,-102.3264,ERCO,1152.8,0.0,1152.8,6,0.2621960889713425,0.201689299208725
55198,Riverside Generating LLC,KY,38.191661,-82.604586,PJM,1150.0,1150.0,0.0,5,0.18397156247659982,0.1415165865204614
6112,Fort St Vrain,CO,40.2461,-104.8742,PSCO,1148.5,280.6,867.9,6,0.2365189407706719,0.18193764674667068
60464,Tenaska Westmoreland Generating Station,PA,40.175249,-79.696665,PJM,1134.0,0.0,1134.0,3,0.17773059005619007,0.1367158385047616
6073,Victor J Daniel Jr,MS,30.5322,-88.5553,SOCO,1132.4,0.0,1132.4,6,0.2182580935132344,0.16789084116402647
55455,Red Hawk,AZ,33.334562,-112.840641,SRP,1127.0,0.0,1127.0,6,0.26692410372745795,0.20532623363650612
55841,Silverhawk,NV,36.4078,-114.9606,NEVP,1120.3,455.6,664.7,5,0.2676994675528917,0.20592266734837822
59220,Wildcat Point Generation Facility,MD,39.719364,-76.161625,PJM,1113.6,0.0,1113.6,3,0.20011043520277327,0.15393110400213328
55097,Lamar Power Project,TX,33.6308,-95.59,ERCO,1112.6,0.0,1112.6,6,0.21355255469205778,0.1642711959169675
59906,Moxie Freedom Generation Plant,PA,41.113056,-76.158056,PJM,1105.0,0.0,1105.0,2,0.18070538039705933,0.1390041387669687
55061,Tenaska Georgia Generation Facility,GA,33.3516,-84.9996,SOCO,1099.1999999999998,1099.1999999999998,0.0,6,0.20344456904175484,0.1564958223398114
7153,Hay Road,DE,39.7436,-75.5072,PJM,1098.2,0.0,1098.2,8,0.19995632126565344,0.1538125548197334
55153,Guadalupe Generating Station,TX,29.6244,-98.1419,ERCO,1088.2,0.0,1088.2,6,0.2214454175067724,0.1703426288513634
55279,Aurora,IL,41.8151,-88.2265,PJM,1086.2,1086.2,0.0,10,0.19584652916474427,0.1506511762805725
