plant_code,cached,developable_mi2_box,developable_mi2_box_incl_forest,frac_excl_slope,frac_excl_protected,frac_forest,name,state
1355,False,103.95290963906078,116.44871989812849,0.3109125,0.1032984375,0.2325046875,E W Brown,KY
7538,False,88.93986774715972,111.95564907917004,0.01015625,0.01851875,0.108740625,Wayne County Energy Complex,NC
55401,True,23.177017593417645,,,,,Rolling Hills Generating,OH
50006,False,1.8368424090498316,6.711806873022606,0.0493484375,0.05735625,0.046659375,Linden Cogen Plant,NJ
641,False,18.552942312065753,56.091106912901374,0.0127109375,0.095371875,0.17558125,Gulf Clean Energy Center,FL
55087,False,118.06907482688356,130.60032926410548,0.013390625,0.008046875,0.0619140625,Zeeland Generating Station,MI
60376,True,50.187566298571525,,,,,"Clean Energy Future-Lordstown, LLC",OH
55518,False,113.55098458805158,113.55202706387963,0.1171609375,0.2211484375,4.6875e-06,High Desert Power Plant,CA
3264,False,68.85935085503664,154.32742660279854,0.099734375,0.0,0.465765625,W S Lee,SC
55333,False,38.01874595757341,38.14210559722772,0.3153671875,0.1123578125,0.0492265625,Delta Energy Center,CA
55137,False,159.63154361599126,175.5987983825141,0.013434375,0.001384375,0.0762078125,Rio Nogales Power Project,TX
55062,False,135.65181963496386,199.145547402952,0.00260625,0.00888125,0.295240625,Tenaska Frontier Generation Station,TX
55132,False,80.23936448613254,180.8386293863095,0.0756234375,0.0013125,0.50918125,Tenaska Gateway Generating Station,TX
55271,False,56.84933433184703,120.15228902329933,0.3313671875,0.0,0.5112828125,Tenaska Lindsay Hill Generating Station,AL
10554,False,101.98263032401867,107.59914259368807,0.0021703125,0.00265625,0.0254078125,Formosa Utility Venture Ltd,TX
55327,False,48.52446986086579,55.512185336382835,0.00340625,0.0057015625,0.0314984375,Baytown Energy Center,TX
55440,False,56.33956365192344,119.57162998706735,0.3342625,0.0,0.5138140625,Central Alabama Generating Station,AL
55299,False,10.641940744826162,15.579801250425502,0.011546875,0.0018390625,0.0226703125,Channel Energy Center LLC,TX
1396,False,88.36963346920838,124.98312201055072,0.0177484375,0.061028125,0.193259375,Coughlin Power Station,LA
55503,True,40.849762814654184,,,,,"Waterford Power, LLC",OH
7709,False,50.79949960964545,124.91014870258618,0.1652359375,0.013109375,0.454165625,Dahlberg,GA
55187,False,35.77290553197956,52.46224855540849,0.00925,0.0487921875,0.0856265625,Channelview Cogeneration Plant,TX
2336,False,28.429358307149805,28.44047804931583,0.7760375,0.3238046875,0.0009328125,Tracy,NV
55146,False,77.89170892133106,108.95123374268786,0.0556046875,0.0035109375,0.16853125,Green Country Energy LLC,OK
55269,False,41.43598172196918,80.73975288360356,0.03280625,0.017678125,0.1976171875,TVA Southaven Combined Cycle,MS
55467,False,50.43741300536434,110.86382939524371,0.0168,0.072565625,0.295803125,Ouachita,LA
55292,False,81.7867461069231,101.11459545118355,0.047546875,0.117428125,0.13473125,Decatur Energy Center,AL
55293,False,86.06402442947217,105.57604450335737,0.0467265625,0.1007578125,0.12985,Morgan Energy Center,AL
55706,False,32.171499037959045,142.61382070672198,0.1740765625,0.03126875,0.656103125,Choctaw County,MS
55976,True,119.1431724217328,,,,,Hunterstown Power Plant,PA
55089,False,21.755428055880213,22.955665225925262,0.0002890625,0.0063515625,0.005396875,Taft Cogeneration Facility,LA
2539,False,34.01598626974802,81.6661664028103,0.236903125,0.026540625,0.386378125,Bethlehem Energy Center,NY
7839,True,47.37357654668247,,,,,Ladysmith,VA
55063,False,95.78302657451847,163.6120638194846,0.0875890625,0.029084375,0.3825703125,Batesville Generation Facility,MS
55317,False,1.6453743486286327,18.10711014959679,0.0761265625,0.110021875,0.1462921875,Fore River Generating Station,MA
58420,True,48.49736548933611,,,,,Hamilton Liberty,PA
