plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,net_gen_MWh_2024,gas_cf,cf_ac,cf_dc,developable_area_mi2_10km_excl_forest,developable_MW_10km_excl_forest,developable_area_mi2_10km_incl_forest,developable_MW_10km_incl_forest,developable_area_mi2_5km_excl_forest,developable_MW_5km_excl_forest,developable_area_mi2_5km_incl_forest,developable_MW_5km_incl_forest
634,P L Bartow,FL,27.859535,-82.601759,FPC,1364.8,110.8,1254.0,7,6298582.976,0.526829074927599,0.1815569050161621,0.1815569050161621,0.9569928101633062,87.49648550064512,1.4156821745117318,129.43379881250118,0.09312784064043793,8.514545429982896,0.09903520366613734,9.054647192332556
617,Port Everglades,FL,26.0856,-80.1253,FPL,1352.0,0.0,1352.0,4,5788927.0,0.4887843310096998,0.177125460400196,0.177125460400196,0.3780712336447629,34.56651279037832,0.4305425169906813,39.36388726771943,0.09521279229656714,8.705169581400423,0.1111974216602244,10.1666214089348
55298,Fairless Energy Center,PA,40.1475,-74.7411,PJM,1338.0,0.0,1338.0,6,7691098.0,0.6561877606459583,0.1513118587708176,0.1513118587708176,20.983995943112408,1918.5367719417056,28.956851076150496,2647.483526962331,2.749356250549048,251.3697143359129,4.09936244789271,374.798852378762
8068,Santan,AZ,33.3325,-111.7503,SRP,1326.0,0.0,1326.0,9,6017825.0,0.5180741509810809,0.2037973363182136,0.2037973363182136,16.5458288510987,1512.7614949575952,16.5458288510987,1512.7614949575952,1.7916684565003655,163.80968745146197,1.7916684565003655,163.80968745146197
52019,Doswell Energy Center,VA,37.820805,-77.446246,PJM,1313.0,561.0,752.0,9,5647208.640000001,0.4909813560913521,0.1541602695116457,0.1541602695116457,28.43040078297787,2599.350928729405,73.76524210190867,6744.2507064602205,7.485323937446543,684.3724742808266,18.160276416828083,1660.3681295385672
57185,Cricket Valley Energy,NY,41.676111,-73.581111,NYIS,1312.5,0.0,1312.5,6,4161152.0,0.3619179821700369,0.1453944980748941,0.1453944980748941,10.295143786023338,941.270289007848,34.52923186909849,3156.958342317576,2.4098566225426756,220.3297483467589,8.626139985291907,788.6756557981171
645,Big Bend,FL,27.7944,-82.4036,TEC,1311.0,69.9,1241.1,4,6505134.0,0.5664341765670877,0.1815569050161621,0.1815569050161621,10.044254603402456,918.3318494539386,11.325804888036542,1035.5021611919124,3.2167329134646785,294.101294945342,3.5475452429038463,324.34699363692306
7897,E B Harris Electric Generating Plant,AL,32.381352,-86.574366,SOCO,1304.0,0.0,1304.0,6,4979804.0,0.4359438468218617,0.1662908561164368,0.1662908561164368,46.62994378932972,4263.3091464530025,66.25906864790083,6057.971990665218,14.166899011455275,1295.2593381901963,17.360002472817158,1587.20022608614
63931,CPV Three Rivers Energy Center,IL,41.372222,-88.284444,PJM,1300.0,0.0,1300.0,2,6367342.0,0.5591273270108886,0.1511935261510762,0.1511935261510762,45.05302535341067,4119.133746597547,57.338950479094706,5242.41832951723,8.425637134360816,770.3439665701317,10.027574990153422,916.8068562425984
619,Riviera,FL,26.7653,-80.0525,FPL,1295.0,0.0,1295.0,4,7217016.6,0.6361855926376474,0.1741555753875709,0.1741555753875709,1.0904297161555754,99.69643119136688,1.131086273450095,103.41360214400868,0.26444136838572113,24.177496538123073,0.26444136838572113,24.177496538123073
609,Cape Canaveral,FL,28.4698,-80.7644,FPL,1295.0,0.0,1295.0,4,6522005.6,0.5749198356869589,0.175776462843759,0.175776462843759,2.9370018996006766,268.5258879634904,8.996913888140218,822.5749840585341,0.5271452770580013,48.19613961673154,1.6627489457630429,152.02276075547817
62926,"Jackson Generation, LLC",IL,41.438536,-88.110626,PJM,1288.6,0.0,1288.6,2,7249584.0,0.6422303912709769,0.152223744562911,0.152223744562911,39.09805593156296,3574.6793994571844,41.77096395472061,3819.059561574455,13.21755102403111,1208.4618079114157,14.323965369550342,1309.619690930317
55230,Jack County,TX,33.101,-97.9574,ERCO,1280.0,0.0,1280.0,6,6761183.0,0.6029879245148402,0.1777069597530096,0.1777069597530096,85.53548918464342,7820.387582595969,108.08806375705036,9882.33725778746,22.154696298028956,2025.5722329626471,27.753138986678568,2537.4298502106117
400,Haynes,CA,33.764741,-118.09913,LDWP,1279.1,649.2,629.9000000000001,9,2400637.0,0.2142485494759621,0.1927712294798983,0.1927712294798983,5.348248489914105,488.98271907786096,5.351028425455611,489.2368846130843,3.619476075040304,330.92352686082774,3.6215610266964333,331.1141510122453
55372,Harquahala Generating Project,AZ,33.47596,-113.113434,HGMA,1277.1,0.0,1277.1,6,3343384.0,0.2988527446422742,0.2067157150636406,0.2067157150636406,81.12963884329972,7417.56697995883,81.12963884329972,7417.56697995883,26.75792206281956,2446.4385886006453,26.75792206281956,2446.4385886006453
62192,Blue Water Energy Center,MI,42.773716,-82.479331,MISO,1267.4,0.0,1267.4,3,7440041.0,0.6701276225804383,0.1440925607031877,0.1440925607031877,22.40315303705102,2048.288277673236,34.75927153515808,3177.9905403573093,4.180328070539061,382.2014235921427,6.924471941947786,633.0945775495118
55131,Kendall County Generation Facility,IL,41.4797,-88.2581,PJM,1256.0,0.0,1256.0,8,4629766.0,0.4207898888985836,0.153430911304239,0.153430911304239,61.22182544669267,5597.424040840472,64.97786585520943,5940.833449619147,18.39483347814262,1681.8133465730393,19.29866002107463,1764.4489162125376
56237,Lake Side Power Plant,UT,40.331667,-111.754167,PACE,1246.5,0.0,1246.5,6,6106345.0,0.5592229017504721,0.1722943307528541,0.1722943307528541,7.106905211859091,649.7741907985454,7.116287494311673,650.6319994799243,2.4571155267482707,224.65056244555615,2.4585054945190237,224.77764521316786
